Timestamp,Protocol,Source IP,Source Port,Destination IP,Destination Port,Packet Size,TCP Flags
2026-08-30 12:40:13,TCP,34.233.112.211,443,192.168.1.111,58407,85,PA
2026-08-30 12:40:13,TCP,192.168.1.111,50855,54.197.155.195,443,93,PA
2026-08-30 12:40:13,TCP,192.168.1.111,58407,34.233.112.211,443,54,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,92,PA
2026-08-30 12:40:13,TCP,54.197.155.195,443,192.168.1.111,50855,93,PA
2026-08-30 12:40:13,TCP,192.168.1.111,50855,54.197.155.195,443,54,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,133,PA
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,104,PA
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,103,PA
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,121,PA
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,92,PA
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,54,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,126,PA
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,618,PA
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,341,PA
2026-08-30 12:40:13,TCP,192.168.1.111,52091,159.124.61.107,443,125,PA
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,104,PA
2026-08-30 12:40:13,TCP,159.124.61.107,443,192.168.1.111,52091,125,PA
